police_station,missing_reported,latitude,longitude,place_name,maps_url,status
KISHAN GARH,879,28.537465,77.1882146,KISHAN GARH,https://www.google.com/maps/search/?api=1&query=KISHAN+GARH+Police+Station+Delhi,VERIFIED
SAKET,873,28.526216,77.217254,SAKET,https://www.google.com/maps/search/?api=1&query=SAKET+Police+Station+Delhi,VERIFIED
JAFAR PUR KALAN,853,28.5959186,76.9147035,JAFAR PUR KALAN,https://www.google.com/maps/search/?api=1&query=JAFAR+PUR+KALAN+Police+Station+Delhi,VERIFIED
KASHMIRI GATE,850,28.6625304,77.2312988,KASHMIRI GATE,https://www.google.com/maps/search/?api=1&query=KASHMIRI+GATE+Police+Station+Delhi,VERIFIED
SHAHEEN BAGH,840,28.5492259,77.2963284,SHAHEEN BAGH,https://www.google.com/maps/search/?api=1&query=SHAHEEN+BAGH+Police+Station+Delhi,VERIFIED
PASCHIM VIHAR,840,28.6739588,77.0943709,PASCHIM VIHAR,https://www.google.com/maps/search/?api=1&query=PASCHIM+VIHAR+Police+Station+Delhi,VERIFIED
MAYA PURI,839,28.6213326,77.116761,MAYA PURI,https://www.google.com/maps/search/?api=1&query=MAYA+PURI+Police+Station+Delhi,VERIFIED
ROOP NAGAR,829,28.6847741,77.2027103,ROOP NAGAR,https://www.google.com/maps/search/?api=1&query=ROOP+NAGAR+Police+Station+Delhi,VERIFIED
CIVIL LINE,820,28.6886416,77.2216189,CIVIL LINE,https://www.google.com/maps/search/?api=1&query=CIVIL+LINE+Police+Station+Delhi,VERIFIED
DWARKA SECTOR 23,788,28.5645101,77.0589427,DWARKA SECTOR 23,https://www.google.com/maps/search/?api=1&query=DWARKA+SECTOR+23+Police+Station+Delhi,VERIFIED
IP ESTATE,785,28.6271096,77.2473549,IP ESTATE,https://www.google.com/maps/search/?api=1&query=IP+ESTATE+Police+Station+Delhi,VERIFIED
LAHORI GATE,770,28.6555053,77.2190116,LAHORI GATE,https://www.google.com/maps/search/?api=1&query=LAHORI+GATE+Police+Station+Delhi,VERIFIED
GREATER KAILASH,766,28.5455735,77.2429839,GREATER KAILASH,https://www.google.com/maps/search/?api=1&query=GREATER+KAILASH+Police+Station+Delhi,VERIFIED
MIANWALI NAGAR,751,28.6741948,77.0883464,MIANWALI NAGAR,https://www.google.com/maps/search/?api=1&query=MIANWALI+NAGAR+Police+Station+Delhi,VERIFIED
DBG ROAD,732,28.6492505,77.2009166,DBG ROAD,https://www.google.com/maps/search/?api=1&query=DBG+ROAD+Police+Station+Delhi,VERIFIED
PASCHIM VIHAR EAST,715,28.6710675,77.1009481,PASCHIM VIHAR EAST,https://www.google.com/maps/search/?api=1&query=PASCHIM+VIHAR+EAST+Police+Station+Delhi,VERIFIED
BARA HINDU RAO,711,28.6656672,77.2083877,BARA HINDU RAO,https://www.google.com/maps/search/?api=1&query=BARA+HINDU+RAO+Police+Station+Delhi,VERIFIED
SHASTRI PARK,697,28.6728158,77.2569505,SHASTRI PARK,https://www.google.com/maps/search/?api=1&query=SHASTRI+PARK+Police+Station+Delhi,VERIFIED
R.M.D. MAIN,685,28.6368139,77.1855965,R.M.D. MAIN,https://www.google.com/maps/search/?api=1&query=R.M.D.+MAIN+Police+Station+Delhi,VERIFIED
SECTOR 23 DWARKA,649,28.5645101,77.0589427,SECTOR 23 DWARKA,https://www.google.com/maps/search/?api=1&query=SECTOR+23+DWARKA+Police+Station+Delhi,VERIFIED
PATPARGANJ INDUSTRIAL AREA,648,28.6450979,77.3158199,PATPARGANJ INDUSTRIAL AREA,https://www.google.com/maps/search/?api=1&query=PATPARGANJ+INDUSTRIAL+AREA+Police+Station+Delhi,VERIFIED
SOUTH CAMPUS,637,28.5814733,77.1701106,SOUTH CAMPUS,https://www.google.com/maps/search/?api=1&query=SOUTH+CAMPUS+Police+Station+Delhi,VERIFIED
CHANDNI MAHAL,637,28.6430044,77.2346531,CHANDNI MAHAL,https://www.google.com/maps/search/?api=1&query=CHANDNI+MAHAL+Police+Station+Delhi,VERIFIED
DEFENCE COLONY,637,28.5648392,77.2329026,DEFENCE COLONY,https://www.google.com/maps/search/?api=1&query=DEFENCE+COLONY+Police+Station+Delhi,VERIFIED
SEELAMPUR,623,28.6744173,77.2675753,SEELAMPUR,https://www.google.com/maps/search/?api=1&query=SEELAMPUR+Police+Station+Delhi,VERIFIED
MUKHERJEE NAGAR,601,28.6994813,77.2070915,MUKHERJEE NAGAR,https://www.google.com/maps/search/?api=1&query=MUKHERJEE+NAGAR+Police+Station+Delhi,VERIFIED
JAMA MASJID,589,28.6525864,77.2337638,JAMA MASJID,https://www.google.com/maps/search/?api=1&query=JAMA+MASJID+Police+Station+Delhi,VERIFIED
CHANAKYA PURI,547,28.6029568,77.1958779,CHANAKYA PURI,https://www.google.com/maps/search/?api=1&query=CHANAKYA+PURI+Police+Station+Delhi,VERIFIED
LODHI COLONY,538,28.5820818,77.2140776,LODHI COLONY,https://www.google.com/maps/search/?api=1&query=LODHI+COLONY+Police+Station+Delhi,VERIFIED
K.M. PUR,513,28.5759773,77.2251948,K.M. PUR,https://www.google.com/maps/search/?api=1&query=K.M.+PUR+Police+Station+Delhi,VERIFIED
KAMLA MARKET,503,28.642506,77.226012,KAMLA MARKET,https://www.google.com/maps/search/?api=1&query=KAMLA+MARKET+Police+Station+Delhi,VERIFIED
PRASAD NAGAR,500,28.6478823,77.1807615,PRASAD NAGAR,https://www.google.com/maps/search/?api=1&query=PRASAD+NAGAR+Police+Station+Delhi,VERIFIED
TILAK MARG,500,28.6179422,77.235467,TILAK MARG,https://www.google.com/maps/search/?api=1&query=TILAK+MARG+Police+Station+Delhi,VERIFIED
R. K. PURAM,492,28.5653906,77.179925,R. K. PURAM,https://www.google.com/maps/search/?api=1&query=R.+K.+PURAM+Police+Station+Delhi,VERIFIED
VIKASPURI,483,28.6300426,77.0682778,VIKASPURI,https://www.google.com/maps/search/?api=1&query=VIKASPURI+Police+Station+Delhi,VERIFIED
SHAHDARA,480,28.6739822,77.279896,SHAHDARA,https://www.google.com/maps/search/?api=1&query=SHAHDARA+Police+Station+Delhi,VERIFIED
BARAKHAMBA ROAD,468,28.6309023,77.2254715,BARAKHAMBA ROAD,https://www.google.com/maps/search/?api=1&query=BARAKHAMBA+ROAD+Police+Station+Delhi,VERIFIED
DARYA GANJ,454,28.6420324,77.2408132,DARYA GANJ,https://www.google.com/maps/search/?api=1&query=DARYA+GANJ+Police+Station+Delhi,VERIFIED
JAFFARPUR KALAN,424,28.5959186,76.9147035,JAFFARPUR KALAN,https://www.google.com/maps/search/?api=1&query=JAFFARPUR+KALAN+Police+Station+Delhi,VERIFIED
RAJINDER NAGAR,424,28.6348743,77.1829307,RAJINDER NAGAR,https://www.google.com/maps/search/?api=1&query=RAJINDER+NAGAR+Police+Station+Delhi,VERIFIED
NORTH AVENUE,416,28.6179988,77.1990998,NORTH AVENUE,https://www.google.com/maps/search/?api=1&query=NORTH+AVENUE+Police+Station+Delhi,VERIFIED
MAYAPURI,410,28.6213326,77.116761,MAYAPURI,https://www.google.com/maps/search/?api=1&query=MAYAPURI+Police+Station+Delhi,VERIFIED
TIMARPUR,398,28.7066377,77.2241734,TIMARPUR,https://www.google.com/maps/search/?api=1&query=TIMARPUR+Police+Station+Delhi,VERIFIED
SHAKARPUR,393,28.6374948,77.2707281,SHAKARPUR,https://www.google.com/maps/search/?api=1&query=SHAKARPUR+Police+Station+Delhi,VERIFIED
D.B.G. ROAD,369,28.6492505,77.2009166,D.B.G. ROAD,https://www.google.com/maps/search/?api=1&query=D.B.G.+ROAD+Police+Station+Delhi,VERIFIED
CIVIL LINES,338,28.6886416,77.2216189,CIVIL LINES,https://www.google.com/maps/search/?api=1&query=CIVIL+LINES+Police+Station+Delhi,VERIFIED
PARLIAMENT STREET,337,28.6254877,77.2142835,PARLIAMENT STREET,https://www.google.com/maps/search/?api=1&query=PARLIAMENT+STREET+Police+Station+Delhi,VERIFIED
CHITRANJAN PARK,333,28.5370264,77.252943,CHITRANJAN PARK,https://www.google.com/maps/search/?api=1&query=CHITRANJAN+PARK+Police+Station+Delhi,VERIFIED
I.P.ESTATE,324,28.6271096,77.2473549,I.P.ESTATE,https://www.google.com/maps/search/?api=1&query=I.P.ESTATE+Police+Station+Delhi,VERIFIED
HAZRAT NIZAMUDIN STATION,323,28.5901331,77.2487388,HAZRAT NIZAMUDIN STATION,https://www.google.com/maps/search/?api=1&query=HAZRAT+NIZAMUDIN+STATION+Police+Station+Delhi,VERIFIED
CONNAUGHT PLACE,321,28.6300253,77.2141997,CONNAUGHT PLACE,https://www.google.com/maps/search/?api=1&query=CONNAUGHT+PLACE+Police+Station+Delhi,VERIFIED
TUGLAK ROAD,316,28.6079527,77.2230035,TUGLAK ROAD,https://www.google.com/maps/search/?api=1&query=TUGLAK+ROAD+Police+Station+Delhi,VERIFIED
IGI AIRPORT,304,28.5536769,77.091606,IGI AIRPORT,https://www.google.com/maps/search/?api=1&query=IGI+AIRPORT+Police+Station+Delhi,VERIFIED
NEW DELHI RLY. STN.,292,28.6273016,77.2578403,NEW DELHI RLY. STN.,https://www.google.com/maps/search/?api=1&query=NEW+DELHI+RLY.+STN.+Police+Station+Delhi,VERIFIED
SAROJINI NAGAR,280,28.5744866,77.1994036,SAROJINI NAGAR,https://www.google.com/maps/search/?api=1&query=SAROJINI+NAGAR+Police+Station+Delhi,VERIFIED
HAZARAT NIZAMUDDIN,263,28.5901331,77.2486742,HAZARAT NIZAMUDDIN,https://www.google.com/maps/search/?api=1&query=HAZARAT+NIZAMUDDIN+Police+Station+Delhi,VERIFIED
ANAND VIHAR RAILWAY STATION,248,28.6480127,77.3148709,ANAND VIHAR RAILWAY STATION,https://www.google.com/maps/search/?api=1&query=ANAND+VIHAR+RAILWAY+STATION+Police+Station+Delhi,VERIFIED
KASHMERI GATE,247,28.6625304,77.2312988,KASHMERI GATE,https://www.google.com/maps/search/?api=1&query=KASHMERI+GATE+Police+Station+Delhi,VERIFIED
LODI COLONY,191,28.5820818,77.2140776,LODI COLONY,https://www.google.com/maps/search/?api=1&query=LODI+COLONY+Police+Station+Delhi,VERIFIED
MOURICE NAGAR,186,28.6924958,77.2066113,MOURICE NAGAR,https://www.google.com/maps/search/?api=1&query=MOURICE+NAGAR+Police+Station+Delhi,VERIFIED
CHANKYA PURI,164,28.6029568,77.1958779,CHANKYA PURI,https://www.google.com/maps/search/?api=1&query=CHANKYA+PURI+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION KASHMIRI GATE,118,28.6656152,77.2298962,METRO RAILWAY STATION KASHMIRI GATE,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+KASHMIRI+GATE+Police+Station+Delhi,VERIFIED
OLD DELHI (DELHI MAIN) RLY. STN.,112,28.6603776,77.2294078,OLD DELHI (DELHI MAIN) RLY. STN.,https://www.google.com/maps/search/?api=1&query=OLD+DELHI+(DELHI+MAIN)+RLY.+STN.+Police+Station+Delhi,VERIFIED
I.G.I.AIRPORT,107,28.5536769,77.091606,I.G.I.AIRPORT,https://www.google.com/maps/search/?api=1&query=I.G.I.AIRPORT+Police+Station+Delhi,VERIFIED
SARAI ROHILLA STATION,102,28.6687963,77.1834816,SARAI ROHILLA STATION,https://www.google.com/maps/search/?api=1&query=SARAI+ROHILLA+STATION+Police+Station+Delhi,VERIFIED
MANDI HOUSE/PRAGATI MAIDAN METRO,96,,,,https://www.google.com/maps/search/?api=1&query=MANDI+HOUSE/PRAGATI+MAIDAN+METRO+Police+Station+Delhi,
ANAND VIHAR RLY STN,89,28.6480127,77.3148709,ANAND VIHAR RLY STN,https://www.google.com/maps/search/?api=1&query=ANAND+VIHAR+RLY+STN+Police+Station+Delhi,VERIFIED
TUGHLAK ROAD,76,28.6079527,77.2156725,TUGHLAK ROAD,https://www.google.com/maps/search/?api=1&query=TUGHLAK+ROAD+Police+Station+Delhi,VERIFIED
SOUTH AVENUE,74,28.6072181,77.199754,SOUTH AVENUE,https://www.google.com/maps/search/?api=1&query=SOUTH+AVENUE+Police+Station+Delhi,VERIFIED
HAZRAT NIZAMUDDIN RLY STN,72,28.5901331,77.2487388,HAZRAT NIZAMUDDIN RLY STN,https://www.google.com/maps/search/?api=1&query=HAZRAT+NIZAMUDDIN+RLY+STN+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION SHASTRI PARK,69,28.6688186,77.2485155,METRO RAILWAY STATION SHASTRI PARK,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+SHASTRI+PARK+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION RAJAOURI GARDEN,68,28.6503267,77.1231741,METRO RAILWAY STATION RAJAOURI GARDEN,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+RAJAOURI+GARDEN+Police+Station+Delhi,VERIFIED
SUBZI MANDI RAILWAY STATION,53,28.6677797,77.2042664,SUBZI MANDI RAILWAY STATION,https://www.google.com/maps/search/?api=1&query=SUBZI+MANDI+RAILWAY+STATION+Police+Station+Delhi,VERIFIED
KALKAJI MANDIR/ OKHLA VIHAR (M),53,28.5498204,77.2607105,KALKAJI MANDIR/ OKHLA VIHAR (M),https://www.google.com/maps/search/?api=1&query=KALKAJI+MANDIR/+OKHLA+VIHAR+(M)+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION YAMUNA DEPOT,52,28.6225915,77.2673117,METRO RAILWAY STATION YAMUNA DEPOT,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+YAMUNA+DEPOT+Police+Station+Delhi,VERIFIED
CENTRAL SECRETARIATE/RAJIV CHOWK METRO,47,28.614062,77.2147055,CENTRAL SECRETARIATE/RAJIV CHOWK METRO,https://www.google.com/maps/search/?api=1&query=CENTRAL+SECRETARIATE/RAJIV+CHOWK+METRO+Police+Station+Delhi,VERIFIED
DOMESTIC AIRPORT,45,28.5647485,77.1219789,DOMESTIC AIRPORT,https://www.google.com/maps/search/?api=1&query=DOMESTIC+AIRPORT+Police+Station+Delhi,VERIFIED
RAJA GARDEN (M),45,28.6507385,77.1210386,RAJA GARDEN (M),https://www.google.com/maps/search/?api=1&query=RAJA+GARDEN+(M)+Police+Station+Delhi,VERIFIED
DELHI CANTT. RAILWAY STATION,40,28.5966161,77.1446198,DELHI CANTT. RAILWAY STATION,https://www.google.com/maps/search/?api=1&query=DELHI+CANTT.+RAILWAY+STATION+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION RITHALA,40,28.720006,77.1046658,METRO RAILWAY STATION RITHALA,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+RITHALA+Police+Station+Delhi,VERIFIED
MAURICE NAGAR,38,28.6924958,77.2066113,MAURICE NAGAR,https://www.google.com/maps/search/?api=1&query=MAURICE+NAGAR+Police+Station+Delhi,VERIFIED
KASHMIRI GATE (METRO),37,28.6645033,77.2288216,KASHMIRI GATE (METRO),https://www.google.com/maps/search/?api=1&query=KASHMIRI+GATE+(METRO)+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION QUTAB MINAR,29,28.509703,77.1682894,METRO RAILWAY STATION QUTAB MINAR,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+QUTAB+MINAR+Police+Station+Delhi,VERIFIED
AZADPUR (M),28,28.7121101,77.1755,AZADPUR (M),https://www.google.com/maps/search/?api=1&query=AZADPUR+(M)+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION KALKAJI MANDIR,23,28.549034,77.2577187,METRO RAILWAY STATION KALKAJI MANDIR,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+KALKAJI+MANDIR+Police+Station+Delhi,VERIFIED
MADIPUR,22,28.666696,77.117469,MADIPUR,https://www.google.com/maps/search/?api=1&query=MADIPUR+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION RAJIV CHOWK,21,28.628203,77.2170555,METRO RAILWAY STATION RAJIV CHOWK,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+RAJIV+CHOWK+Police+Station+Delhi,VERIFIED
INA METRO,21,28.5744596,77.2093039,INA METRO,https://www.google.com/maps/search/?api=1&query=INA+METRO+Police+Station+Delhi,VERIFIED
IGI AIRPORT (M),20,28.5592127,77.1067925,IGI AIRPORT (M),https://www.google.com/maps/search/?api=1&query=IGI+AIRPORT+(M)+Police+Station+Delhi,VERIFIED
Anti Kidnapping Section,20,28.634138,77.174634,Anti Kidnapping Section,https://www.google.com/maps/search/?api=1&query=Anti+Kidnapping+Section+Police+Station+Delhi,VERIFIED
UDHYOG NAGAR/NANGLOI METRO,19,28.681048,77.080864,UDHYOG NAGAR/NANGLOI METRO,https://www.google.com/maps/search/?api=1&query=UDHYOG+NAGAR/NANGLOI+METRO+Police+Station+Delhi,VERIFIED
SHASHTRI PARK METRO,18,28.6688186,77.2485155,SHASHTRI PARK METRO,https://www.google.com/maps/search/?api=1&query=SHASHTRI+PARK+METRO+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION NETAJI SUBHASH PLACE,17,28.6960742,77.1538697,METRO RAILWAY STATION NETAJI SUBHASH PLACE,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+NETAJI+SUBHASH+PLACE+Police+Station+Delhi,VERIFIED
SHASTRI PARK(M),17,28.6728158,77.2569505,SHASTRI PARK(M),https://www.google.com/maps/search/?api=1&query=SHASTRI+PARK(M)+Police+Station+Delhi,VERIFIED
KASHMIRI GATE METRO,16,28.6645033,77.2288216,KASHMIRI GATE METRO,https://www.google.com/maps/search/?api=1&query=KASHMIRI+GATE+METRO+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION INA,16,28.5744596,77.2093039,METRO RAILWAY STATION INA,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+INA+Police+Station+Delhi,VERIFIED
NETAJI SUBHASH PALACE (M),15,28.6926609,77.1488694,NETAJI SUBHASH PALACE (M),https://www.google.com/maps/search/?api=1&query=NETAJI+SUBHASH+PALACE+(M)+Police+Station+Delhi,VERIFIED
JANAK PURI METRO,14,28.6210223,77.0521245,JANAK PURI METRO,https://www.google.com/maps/search/?api=1&query=JANAK+PURI+METRO+Police+Station+Delhi,VERIFIED
RAJA GARDEN METRO,14,28.649982,77.1220409,RAJA GARDEN METRO,https://www.google.com/maps/search/?api=1&query=RAJA+GARDEN+METRO+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION IGI AIRPORT,14,28.5536769,77.091606,METRO RAILWAY STATION IGI AIRPORT,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+IGI+AIRPORT+Police+Station+Delhi,VERIFIED
QUTUB MINAR/GHITORNI(M),12,28.5196744,77.1858592,QUTUB MINAR/GHITORNI(M),https://www.google.com/maps/search/?api=1&query=QUTUB+MINAR/GHITORNI(M)+Police+Station+Delhi,VERIFIED
KARTAVYA PATH,11,28.6142491,77.2119211,KARTAVYA PATH,https://www.google.com/maps/search/?api=1&query=KARTAVYA+PATH+Police+Station+Delhi,VERIFIED
Metro Police Station Rajiv Chowk,10,28.6689833,77.1498352,Metro Police Station Rajiv Chowk,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Rajiv+Chowk+Police+Station+Delhi,VERIFIED
Metro Police Station Netaji Subhash Place,10,28.6960742,77.1538697,Metro Police Station Netaji Subhash Place,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Netaji+Subhash+Place+Police+Station+Delhi,VERIFIED
UDHOY NAGAR NANGLOI METRO,9,28.6822104,77.0725337,UDHOY NAGAR NANGLOI METRO,https://www.google.com/maps/search/?api=1&query=UDHOY+NAGAR+NANGLOI+METRO+Police+Station+Delhi,VERIFIED
YAMUNA DEPOT (M),8,28.6225915,77.2673117,YAMUNA DEPOT (M),https://www.google.com/maps/search/?api=1&query=YAMUNA+DEPOT+(M)+Police+Station+Delhi,VERIFIED
CRIME BRANCH,7,28.6296894,77.2054907,CRIME BRANCH,https://www.google.com/maps/search/?api=1&query=CRIME+BRANCH+Police+Station+Delhi,VERIFIED
"JOINT CP, TRAFFIC",7,,,,"https://www.google.com/maps/search/?api=1&query=JOINT+CP,+TRAFFIC+Police+Station+Delhi",
MADHUBAN,6,28.7109071,77.4793585,MADHUBAN,https://www.google.com/maps/search/?api=1&query=MADHUBAN+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION JANAKPURI,6,28.62842,77.0819094,METRO RAILWAY STATION JANAKPURI,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+JANAKPURI+Police+Station+Delhi,VERIFIED
TOWN HALL,6,28.6120191,77.1995216,TOWN HALL,https://www.google.com/maps/search/?api=1&query=TOWN+HALL+Police+Station+Delhi,VERIFIED
SPECIAL CELL,5,,,,https://www.google.com/maps/search/?api=1&query=SPECIAL+CELL+Police+Station+Delhi,
MAHIPAL PUR,4,28.5499478,77.1301634,MAHIPAL PUR,https://www.google.com/maps/search/?api=1&query=MAHIPAL+PUR+Police+Station+Delhi,VERIFIED
IGI AIRPORT METRO,4,28.5592127,77.1067925,IGI AIRPORT METRO,https://www.google.com/maps/search/?api=1&query=IGI+AIRPORT+METRO+Police+Station+Delhi,VERIFIED
"DCP/TRAFFIC, NEW DELHI RANGE",4,,,,"https://www.google.com/maps/search/?api=1&query=DCP/TRAFFIC,+NEW+DELHI+RANGE+Police+Station+Delhi",
METRO RAILWAY STATION AZADPUR,4,28.7066629,77.177924,METRO RAILWAY STATION AZADPUR,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+AZADPUR+Police+Station+Delhi,VERIFIED
YAMUNA DEPOT METRO,4,28.6225915,77.2673117,YAMUNA DEPOT METRO,https://www.google.com/maps/search/?api=1&query=YAMUNA+DEPOT+METRO+Police+Station+Delhi,VERIFIED
Metro Police Station Nangloi,3,28.6833727,77.0642034,Metro Police Station Nangloi,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Nangloi+Police+Station+Delhi,VERIFIED
Metro Police Station Azadpur,3,28.7072896,77.1801674,Metro Police Station Azadpur,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Azadpur+Police+Station+Delhi,VERIFIED
EAST PAHAR GANJ,3,28.647615,77.2128122,EAST PAHAR GANJ,https://www.google.com/maps/search/?api=1&query=EAST+PAHAR+GANJ+Police+Station+Delhi,VERIFIED
"DCP/TRAFFIC, NORTHERN RANGE",3,,,,"https://www.google.com/maps/search/?api=1&query=DCP/TRAFFIC,+NORTHERN+RANGE+Police+Station+Delhi",
LAJPAT NAGAR METRO,3,28.5680581,77.2409593,LAJPAT NAGAR METRO,https://www.google.com/maps/search/?api=1&query=LAJPAT+NAGAR+METRO+Police+Station+Delhi,VERIFIED
"ADDL. CP, TRAFFIC",2,28.6029571,77.1960501,"ADDL. CP, TRAFFIC","https://www.google.com/maps/search/?api=1&query=ADDL.+CP,+TRAFFIC+Police+Station+Delhi",VERIFIED
METRO RAILWAY STATION OKHLA VIHAR,2,,,,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+OKHLA+VIHAR+Police+Station+Delhi,
NARELA INDL. AREA,2,28.8732436,77.0233487,NARELA INDL. AREA,https://www.google.com/maps/search/?api=1&query=NARELA+INDL.+AREA+Police+Station+Delhi,VERIFIED
METRO RAILWAY STATION NEHRU PLACE,2,,,,https://www.google.com/maps/search/?api=1&query=METRO+RAILWAY+STATION+NEHRU+PLACE+Police+Station+Delhi,
Metro Police Station Pragati Maidan,2,28.624779,77.2408853,Metro Police Station Pragati Maidan,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Pragati+Maidan+Police+Station+Delhi,VERIFIED
RITHALA METRO,2,28.7200245,77.1077669,RITHALA METRO,https://www.google.com/maps/search/?api=1&query=RITHALA+METRO+Police+Station+Delhi,VERIFIED
Nehru Place Metro,2,28.549104,77.2534778,Nehru Place Metro,https://www.google.com/maps/search/?api=1&query=Nehru+Place+Metro+Police+Station+Delhi,VERIFIED
Metro Police Station Okhla Vihar,2,28.5469007,77.2856081,Metro Police Station Okhla Vihar,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Okhla+Vihar+Police+Station+Delhi,VERIFIED
RITHALA (METRO),2,28.719983,77.1042142,RITHALA (METRO),https://www.google.com/maps/search/?api=1&query=RITHALA+(METRO)+Police+Station+Delhi,VERIFIED
bring,1,28.6275827,77.1572053,bring,https://www.google.com/maps/search/?api=1&query=bring+Police+Station+Delhi,VERIFIED
Special Team,1,28.6396188,77.1765115,Special Team,https://www.google.com/maps/search/?api=1&query=Special+Team+Police+Station+Delhi,VERIFIED
Metro Police Station Ghitorni,1,28.4932843,77.1486196,Metro Police Station Ghitorni,https://www.google.com/maps/search/?api=1&query=Metro+Police+Station+Ghitorni+Police+Station+Delhi,VERIFIED
JAGATPURI,1,28.6437715,77.2840574,JAGATPURI,https://www.google.com/maps/search/?api=1&query=JAGATPURI+Police+Station+Delhi,VERIFIED
SUPREME COURT METRO,1,28.6236295,77.2540315,SUPREME COURT METRO,https://www.google.com/maps/search/?api=1&query=SUPREME+COURT+METRO+Police+Station+Delhi,VERIFIED
O.I. ESTATE,1,28.5818906,77.2432173,O.I. ESTATE,https://www.google.com/maps/search/?api=1&query=O.I.+ESTATE+Police+Station+Delhi,VERIFIED
"DCP/TRAFFIC, SOUTHERN RANGE",1,,,,"https://www.google.com/maps/search/?api=1&query=DCP/TRAFFIC,+SOUTHERN+RANGE+Police+Station+Delhi",
PARTAP NAGAR,1,,,,https://www.google.com/maps/search/?api=1&query=PARTAP+NAGAR+Police+Station+Delhi,
RK PURAM,1,,,,https://www.google.com/maps/search/?api=1&query=RK+PURAM+Police+Station+Delhi,
Special Investigation Team,1,,,,https://www.google.com/maps/search/?api=1&query=Special+Investigation+Team+Police+Station+Delhi,
