police_station,missing_reported,latitude,longitude,place_name,maps_url,status
SHALIMAR BAGH,3318,28.7170558,77.1571919,SHALIMAR BAGH,https://www.google.com/maps/search/?api=1&query=SHALIMAR+BAGH+Police+Station+Delhi,VERIFIED
SUBHASH PLACE,3317,28.6892476,77.1438691,SUBHASH PLACE,https://www.google.com/maps/search/?api=1&query=SUBHASH+PLACE+Police+Station+Delhi,VERIFIED
NEB SARAI,3291,28.4989012,77.2135403,NEB SARAI,https://www.google.com/maps/search/?api=1&query=NEB+SARAI+Police+Station+Delhi,VERIFIED
KANJHAWALA,3289,28.7257488,77.0033595,KANJHAWALA,https://www.google.com/maps/search/?api=1&query=KANJHAWALA+Police+Station+Delhi,VERIFIED
NEW USMAN PUR,3234,28.6727083,77.2617342,NEW USMAN PUR,https://www.google.com/maps/search/?api=1&query=NEW+USMAN+PUR+Police+Station+Delhi,VERIFIED
PUNJABI BAGH,3150,28.674482,77.1317512,PUNJABI BAGH,https://www.google.com/maps/search/?api=1&query=PUNJABI+BAGH+Police+Station+Delhi,VERIFIED
CHHAWLA,3150,28.5868886,76.9949589,CHHAWLA,https://www.google.com/maps/search/?api=1&query=CHHAWLA+Police+Station+Delhi,VERIFIED
WELCOME,3042,28.6820548,77.278511,WELCOME,https://www.google.com/maps/search/?api=1&query=WELCOME+Police+Station+Delhi,VERIFIED
MALVIYA NAGAR,3037,28.5307879,77.2045293,MALVIYA NAGAR,https://www.google.com/maps/search/?api=1&query=MALVIYA+NAGAR+Police+Station+Delhi,VERIFIED
SARAI ROHILLA,3017,28.6687963,77.1834816,SARAI ROHILLA,https://www.google.com/maps/search/?api=1&query=SARAI+ROHILLA+Police+Station+Delhi,VERIFIED
BHAJAN PURA,3016,28.701171,77.264838,BHAJAN PURA,https://www.google.com/maps/search/?api=1&query=BHAJAN+PURA+Police+Station+Delhi,VERIFIED
MANDAWALI,2963,28.624833,77.3063944,MANDAWALI,https://www.google.com/maps/search/?api=1&query=MANDAWALI+Police+Station+Delhi,VERIFIED
VASANT KUNJ SOUTH,2855,28.5352924,77.1519484,VASANT KUNJ SOUTH,https://www.google.com/maps/search/?api=1&query=VASANT+KUNJ+SOUTH+Police+Station+Delhi,VERIFIED
